City,Cloudiness,Country,Date,Humidity,Lat,Max Temp,Wind Speed
busselton,100,AU,1561478206,81,-33.64,57.0,21.83
klaksvik,100,FO,1561478206,81,62.23,53.6,12.75
diego de almagro,72,CL,1561478208,70,-26.39,55.67,4.81
carndonagh,40,IE,1561478208,77,55.25,64.4,6.93
marawi,100,PH,1561478209,92,8.0,77.0,4.0
adolfo lopez mateos,0,MX,1561478210,43,26.8,91.0,5.01
vao,98,EE,1561478210,38,59.1,65.39,7.45
rikitea,6,PF,1561478212,86,-23.12,71.15,13.11
bluff,62,AU,1561478213,51,-23.58,56.57,5.86
albany,90,US,1561478216,94,42.65,73.0,4.7
saint-augustin,0,FR,1561478218,58,44.83,91.0,8.05
ilulissat,40,GL,1561478218,54,69.22,53.6,9.17
avarua,100,CK,1561478219,73,-21.21,73.4,4.7
arlit,0,NE,1561478220,5,18.74,110.21,3.98
hobart,0,AU,1561478209,75,-42.88,48.99,9.17
turan,100,RU,1561478224,76,52.15,44.51,2.84
sadiqabad,25,PK,1561478224,20,28.31,107.15,4.61
yellowknife,20,CA,1561478040,48,62.45,66.2,6.93
east london,90,ZA,1561478226,93,-33.02,57.2,18.34
mataura,23,NZ,1561477987,84,-46.19,45.0,3.0
kiunga,99,PG,1561478227,99,-6.12,72.77,2.71
lasa,0,CY,1561478227,70,34.92,89.01,11.41
chuy,100,UY,1561478228,84,-33.69,54.77,16.91
oga,49,NG,1561478232,74,8.18,80.15,7.36
kapaa,20,US,1561478203,83,22.08,78.8,4.7
carnarvon,0,ZA,1561478233,22,-30.97,58.37,10.38
havoysund,75,NO,1561478234,81,71.0,48.2,26.4
yenagoa,90,NG,1561478234,78,4.92,80.51,7.65
choya,56,RU,1561478236,91,52.01,49.19,4.12
auki,15,NG,1561478237,41,12.18,91.49,6.11
maragogi,74,BR,1561478237,63,-9.01,81.59,8.59
ushuaia,75,AR,1561478238,92,-54.81,30.2,5.82
nicoya,20,CR,1561478238,79,10.15,86.0,4.7
saint-leu,100,RE,1561478239,88,-21.15,71.6,3.36
beringovskiy,100,RU,1561478239,94,63.05,42.53,11.3
cape town,20,ZA,1561478037,67,-33.93,63.0,14.99
jiangyou,96,CN,1561478240,98,31.78,62.69,1.12
new norfolk,0,AU,1561478240,75,-42.78,48.99,9.17
portland,90,US,1561478241,76,45.52,61.0,5.82
